year,title,vol,pages,words,words_body,word_source,pdf_present,xml_present,scraped_at
2002,14,5,543,308674,297789,xml,True,True,2026-06-23
2002,15,1,489,274419,262830,xml,True,True,2026-06-23
2002,15,2,849,505360,477268,xml,True,True,2026-06-23
2002,15,3,540,291666,279166,xml,True,True,2026-06-23
2002,16,1,678,365797,351570,xml,True,True,2026-06-23
2002,16,2,811,478845,478845,pdf,True,False,2026-06-23
2002,17,1,676,421133,405672,xml,True,True,2026-06-23
2002,17,2,740,466138,448923,xml,True,True,2026-06-23
2002,17,3,1002,638679,617876,xml,True,True,2026-06-23
2002,18,1,1039,605751,584043,xml,True,True,2026-06-23
2002,18,2,309,163489,153291,xml,True,True,2026-06-23
2002,19,1,825,470612,424246,xml,True,True,2026-06-23
2002,19,2,789,483501,483501,pdf,True,False,2026-06-23
2002,19,3,374,212476,201230,xml,True,True,2026-06-23
2002,20,1,680,400368,384761,xml,True,True,2026-06-23
2002,20,2,1168,754950,731256,xml,True,True,2026-06-23
2002,20,3,1156,697324,683800,xml,True,True,2026-06-23
2002,21,1,518,292790,277211,xml,True,True,2026-06-23
2002,21,2,612,371630,353793,xml,True,True,2026-06-23
2002,21,3,642,363461,345742,xml,True,True,2026-06-23
2002,21,4,209,106670,95226,xml,True,True,2026-06-23
2002,21,5,376,210831,194917,xml,True,True,2026-06-23
2002,21,6,617,348922,325059,xml,True,True,2026-06-23
2002,21,7,204,104624,91900,xml,True,True,2026-06-23
2002,21,8,756,422342,403029,xml,True,True,2026-06-23
2002,21,9,278,165980,165980,pdf,True,False,2026-06-23
2002,22,1,1088,635278,620249,xml,True,True,2026-06-23
